,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,matara,98,LK,1632798371,84,5.9485,80.5353,80.24,15.64
85,upata,36,VE,1632798371,90,8.0086,-62.3989,71.38,3.06
86,dryden,28,CA,1632798195,68,49.7833,-92.7503,50.65,4.99
87,castro,16,BR,1632798094,78,-24.7911,-50.0119,61.97,4.21
88,fairbanks,38,US,1632798305,79,64.8378,-147.7164,35.1,1.79
89,bambous virieux,36,MU,1632798372,71,-20.2567,57.4061,72.14,11.61
90,washington,100,US,1632798291,81,47.5001,-120.5015,56.84,2.01
91,makurdi,35,NG,1632798372,95,7.7411,8.5121,72.59,4.05
92,havelock,1,US,1632798373,78,34.8791,-76.9013,75.94,0.0
93,panjab,0,AF,1632798373,14,34.388,67.0233,56.35,1.14
94,avarua,75,CK,1632798373,78,-21.2078,-159.775,77.05,3.44
95,ardahan,3,TR,1632798373,89,41.1087,42.7022,37.47,2.37
96,kapaa,75,US,1632798374,74,22.0752,-159.319,79.12,5.99
97,bengkulu,41,ID,1632798374,73,-3.8004,102.2655,83.26,3.87
98,rosarito,38,MX,1632798374,78,32.3333,-117.0333,65.48,6.67
99,kodiak,100,US,1632798375,64,57.79,-152.4072,44.37,3.11
100,ixtapa,100,MX,1632798375,93,20.7,-105.2,76.53,2.46
101,bethel,1,US,1632798244,73,41.3712,-73.414,72.01,10.36
102,chalons-en-champagne,99,FR,1632798375,98,48.9539,4.3672,50.58,5.01
103,cacoal,14,BR,1632798375,70,-11.4386,-61.4472,77.04,7.45
104,mar del plata,75,ES,1632798376,95,43.4002,-4.0094,62.02,0.0
105,marystown,0,CA,1632798376,100,47.1666,-55.1483,54.86,1.99
106,hobart,75,AU,1632798376,54,-42.8794,147.3294,60.26,5.75
107,port hardy,38,CD,1632798360,61,-7.0349,29.7638,74.97,1.9
108,grindavik,75,IS,1632798377,75,63.8424,-22.4338,37.87,16.11
109,ternate,89,ID,1632798377,71,0.8,127.4,84.13,5.41
110,eureka,80,US,1632798377,97,40.8021,-124.1637,57.36,4.97
111,belaya gora,0,UA,1632798378,70,49.029,25.7706,45.99,8.77
112,cidreira,3,BR,1632798378,94,-30.1811,-50.2056,65.88,11.95
113,souillac,68,MU,1632798378,74,-20.5167,57.5167,73.36,12.88
114,lompoc,90,US,1632798304,90,34.6391,-120.4579,61.32,8.05
115,barrow,90,US,1632798379,86,71.2906,-156.7887,30.22,10.36
116,belluno,3,IT,1632798379,94,46.145,12.2214,59.88,6.78
117,canico,20,PT,1632798379,74,32.6333,-16.85,72.23,11.5
118,prescott,75,US,1632798157,90,34.54,-112.4685,60.37,4.0
119,cabo san lucas,59,BR,1632798379,89,-8.2833,-35.0333,75.13,10.27
120,taoudenni,5,ML,1632798380,9,22.6783,-3.9836,91.9,9.53
121,cabinda,100,AO,1632798380,87,-5.55,12.2,74.84,5.53
122,namtsy,0,RU,1632798381,42,62.7161,129.6658,48.31,9.91
123,andenes,100,NO,1632798190,71,69.3143,16.1194,57.47,8.05
124,verkhnyaya maksakovka,91,RU,1632798381,97,60.9844,40.2072,38.01,2.82
125,ndele,100,CF,1632798381,99,8.4109,20.6473,69.89,3.04
126,portland,77,US,1632798159,93,45.5234,-122.6762,56.52,7.0
127,ponta delgada,78,PT,1632798382,83,38.7333,-28.2667,64.42,14.03
128,ponoka,18,CA,1632798382,53,52.6768,-113.5815,61.47,7.38
129,buala,100,SB,1632798383,76,-8.145,159.5921,81.86,5.59
130,north bend,96,FR,1632798383,95,50.3333,3.6667,50.99,7.31
131,horki,100,BY,1632798383,90,54.2861,30.9842,45.52,5.86
132,sal rei,7,JO,1632798384,87,32.5694,35.9119,66.81,8.48
133,avera,0,US,1632798384,64,33.194,-82.5271,68.72,5.06
134,haines junction,90,US,1632798384,76,59.2286,-135.4441,47.88,8.05
135,komsomolskiy,0,UZ,1632798385,51,40.4272,71.7189,62.02,2.3
136,dunedin,70,NZ,1632798385,51,-45.8742,170.5036,53.98,5.95
137,byron bay,1,US,1632798386,74,44.0327,-92.6455,62.51,4.61
138,ginda,0,IN,1632798386,68,30.6945,78.4932,70.57,1.28
139,wanaka,19,NZ,1632798386,40,-44.7,169.15,53.71,2.19
140,pisco,0,PE,1632798306,88,-13.7,-76.2167,61.02,10.36
141,petropavlovsk-kamchatskiy,20,RU,1632798387,36,53.0452,158.6483,61.39,11.18
142,mahebourg,89,MU,1632798387,72,-20.4081,57.7,73.26,14.14
143,erdenet,35,MN,1632798387,71,49.0333,104.0833,32.07,5.21
144,tacuarembo,8,UY,1632798388,96,-31.7333,-55.9833,59.32,6.49
145,uvalde,1,US,1632798213,29,29.3669,-99.767,84.13,6.91
146,jyvaskyla,90,FI,1632798388,100,62.2415,25.7209,44.13,0.0
147,suluq,17,LY,1632798388,79,31.6682,20.2521,69.58,6.02
148,butaritari,7,KI,1632798389,71,3.0707,172.7902,84.04,17.56
149,qena,0,EG,1632798389,44,26.1615,32.7183,72.9,8.05
150,warwick,75,US,1632798389,74,41.7001,-71.4162,71.46,12.66
151,linfen,100,CN,1632798390,71,36.0889,111.5189,66.24,3.91
152,at-bashi,0,KG,1632798390,21,41.1702,75.8106,56.66,0.92
